period,period_start,period_end,ticker,expected_isyatirim_days,yfinance_matching_days,yfinance_date_match_rate,missing_nominal_open_count,missing_nominal_open_rate,missing_nominal_high_count,missing_nominal_low_count,missing_nominal_close_count,missing_nominal_high_low_close_count,nominal_ohlc_evaluable_count,invalid_nominal_ohlc_count,nominal_ohlc_validity_rate,split_factor_unavailable_count,corporate_action_window_count,cross_source_price_warning_count,isyatirim_tl_volume_missing_count,isyatirim_tl_volume_zero_count,yfinance_share_volume_missing_count,yfinance_share_volume_zero_count,both_volumes_zero_count,both_volumes_missing_count,open_present_both_volumes_missing_count,one_volume_missing_count,one_volume_zero_other_positive_count,no_open_status_count,invalid_ohlc_status_count,corporate_action_window_status_count,provider_open_evaluable_count,provider_open_inconsistency_count,provider_open_validity_rate,nominal_open_evaluable_count,nominal_open_inconsistency_count,nominal_open_validity_rate,open_validity_rate_change,source_price_conflict_count,nominal_source_price_conflict_count,adjustment_factor_change_count,yfinance_dividend_event_count,yfinance_split_event_count,both_sources_action_signal_count,isyatirim_only_action_signal_count,yfinance_only_action_signal_count,high_absolute_difference_median,high_absolute_difference_p95,high_absolute_difference_max,nominal_high_absolute_difference_median,nominal_high_absolute_difference_p95,nominal_high_absolute_difference_max,high_percentage_difference_median,high_percentage_difference_p95,high_percentage_difference_max,nominal_high_percentage_difference_median,nominal_high_percentage_difference_p95,nominal_high_percentage_difference_max,low_absolute_difference_median,low_absolute_difference_p95,low_absolute_difference_max,nominal_low_absolute_difference_median,nominal_low_absolute_difference_p95,nominal_low_absolute_difference_max,low_percentage_difference_median,low_percentage_difference_p95,low_percentage_difference_max,nominal_low_percentage_difference_median,nominal_low_percentage_difference_p95,nominal_low_percentage_difference_max,close_absolute_difference_median,close_absolute_difference_p95,close_absolute_difference_max,nominal_close_absolute_difference_median,nominal_close_absolute_difference_p95,nominal_close_absolute_difference_max,close_percentage_difference_median,close_percentage_difference_p95,close_percentage_difference_max,nominal_close_percentage_difference_median,nominal_close_percentage_difference_p95,nominal_close_percentage_difference_max
start_boundary,2020-03-13,2020-04-15,THYAO,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start_boundary,2020-03-13,2020-04-15,GARAN,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start_boundary,2020-03-13,2020-04-15,ASELS,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start_boundary,2020-03-13,2020-04-15,BIMAS,24,24,1.0,0,0.0,0,0,0,0,24,0,1.0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0.0,24,1,0.9583333333333334,0.9583333333333334,24,24,0,0,0,0,0,0,26.0,27.42124994277954,27.800000762939455,7.629394502828291e-07,1.5258789076710855e-06,0.3999984741210909,50.0,50.00000156508678,50.389862060546875,1.467212954877554e-06,3.130173568977133e-06,0.7797241210937446,24.970000686645506,25.767500267028808,26.275000381469724,1.3732910133512632e-06,0.020001319885251688,0.20000076293945312,50.0,50.00000166200294,50.000001833989074,2.7690742523690265e-06,0.04013799607675129,0.40000152587890625,25.325000190734862,26.532500438690185,26.949999237060545,0.21499999999999986,0.5349995803833001,0.5999984741210938,49.999999620050076,50.43025518758073,50.53921493829465,0.430830988813145,1.0482447886327542,1.1538432194636417
start_boundary,2020-03-13,2020-04-15,TUPRS,24,24,1.0,0,0.0,0,0,0,0,24,0,1.0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0.0,24,1,0.9583333333333334,0.9583333333333334,24,24,0,0,0,0,0,0,71.12142858505248,81.15000047683716,82.41428604125977,2.7656555161570395e-06,6.752014163424745e-06,7.247924799003158e-06,85.71428618024174,85.71428692871267,85.71428699319334,3.3330847043480076e-06,8.500988600780259e-06,8.952353430204916e-06,65.98928642272949,78.3300002193451,78.90000038146972,3.7193298325632895e-06,0.24999471664428796,0.2999956130981474,85.71428619459252,85.71428689184658,85.71428710691225,4.867753519041145e-06,0.34847240923885725,0.38191675760426147,67.17500047683716,79.38785707473755,81.29999961853028,0.20000047683715394,0.6424985122680688,0.7000000000000028,85.68338077508449,85.75477172655003,85.84595128373931,0.26667360257569517,0.7424013637274927,0.9216589861751189
start_boundary,2020-03-13,2020-04-15,EREGL,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start_boundary,2020-03-13,2020-04-15,SISE,24,24,1.0,0,0.0,0,0,0,0,24,0,1.0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1.0,24,0,1.0,0.0,24,24,0,0,0,0,0,0,1.4305114737211966e-07,2.0980834936068504e-07,2.2888183615066282e-07,1.4305114737211966e-07,2.0980834936068504e-07,2.2888183615066282e-07,3.3546542603369102e-06,4.833518423910125e-06,5.707776462610046e-06,3.3546542603369102e-06,4.833518423910125e-06,5.707776462610046e-06,7.152557368605983e-08,2.069473264754151e-07,2.2888183615066282e-07,7.152557368605983e-08,2.069473264754151e-07,2.2888183615066282e-07,1.7368390471519165e-06,4.602155432176274e-06,5.3728130551798785e-06,1.7368390471519165e-06,4.602155432176274e-06,5.3728130551798785e-06,0.009999952316284144,0.037000080108642266,0.0500001144409179,0.009999952316284144,0.037000080108642266,0.0500001144409179,0.24752508931872297,0.8986431705630168,1.0706662621181564,0.24752508931872297,0.8986431705630168,1.0706662621181564
start_boundary,2020-03-13,2020-04-15,SASA,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start_boundary,2020-03-13,2020-04-15,KCHOL,24,24,1.0,0,0.0,0,0,0,0,24,0,1.0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,3,24,3,0.875,24,3,0.875,0.0,24,24,1,1,0,1,0,0,3.8146972691777137e-07,0.08849970436096137,0.14000000000000057,3.8146972691777137e-07,0.08849970436096137,0.14000000000000057,2.5876924540273767e-06,0.6151555743685442,0.867410161090462,2.5876924540273767e-06,0.6151555743685442,0.867410161090462,2.6702880795426154e-07,0.17599961090087898,0.3199999237060549,2.6702880795426154e-07,0.17599961090087898,0.3199999237060549,1.99657779580921e-06,1.175645125166127,2.4132724261391774,1.99657779580921e-06,1.175645125166127,2.4132724261391774,0.06500007629394489,0.36950034713745056,0.3999998474121096,0.06500007629394489,0.36950034713745056,0.3999998474121096,0.4559238739438445,2.3562782481686484,3.016590101147131,0.4559238739438445,2.3562782481686484,3.016590101147131
start_boundary,2020-03-13,2020-04-15,HEKTS,24,24,1.0,0,0.0,0,0,0,0,24,0,1.0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0.0,24,24,0.0,0.0,24,24,0,0,0,0,0,0,9.593224509954453,10.072885874032975,10.501458978652954,8.54642351658426,8.973745096307042,9.355552940204333,94.60773730211879,94.60774265477515,94.60774309494916,84.28425709603846,84.28427269634874,84.28427397923535,9.082342511415481,9.732297855138778,9.801362023353576,8.091287895506028,8.670321291015664,8.731850314189224,94.6077404601215,94.60774463654718,94.60774508251507,84.28426630003345,84.28427847222086,84.28427977199368,9.267097516059875,9.886025373101235,10.302783026695252,8.25642886932686,8.80438215493629,9.178556864092311,94.60774310945938,94.63251757215723,94.6586084815691,84.28427402152536,84.35647916214218,84.43252108506421
