period,period_start,period_end,ticker,ticker_has_split,day_group,row_count,provider_evaluable_count,provider_inconsistency_count,provider_validity_rate,nominal_evaluable_count,nominal_inconsistency_count,nominal_validity_rate,validity_rate_change,provider_to_nominal_improved_count,provider_to_nominal_worsened_count,provider_open_range_gap_median,provider_open_range_gap_p95,provider_open_range_gap_max,nominal_open_range_gap_median,nominal_open_range_gap_p95,nominal_open_range_gap_max
start_boundary,2020-03-13,2020-04-15,THYAO,False,all_days,24,24,2,0.9166666666666666,24,2,0.9166666666666666,0.0,0,0,0.0,3.2424926033058826e-08,3.8146972691777137e-07,0.0,3.2424926033058826e-08,3.8146972691777137e-07
start_boundary,2020-03-13,2020-04-15,THYAO,False,normal_day,24,24,2,0.9166666666666666,24,2,0.9166666666666666,0.0,0,0,0.0,3.2424926033058826e-08,3.8146972691777137e-07,0.0,3.2424926033058826e-08,3.8146972691777137e-07
start_boundary,2020-03-13,2020-04-15,THYAO,False,dividend_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,THYAO,False,split_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,THYAO,False,adjustment_factor_change_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,GARAN,False,all_days,24,24,0,1.0,24,0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
start_boundary,2020-03-13,2020-04-15,GARAN,False,normal_day,24,24,0,1.0,24,0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
start_boundary,2020-03-13,2020-04-15,GARAN,False,dividend_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,GARAN,False,split_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,GARAN,False,adjustment_factor_change_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,ASELS,True,all_days,24,24,24,0.0,24,0,1.0,1.0,24,0,17.142499856948852,18.708749875068662,18.899999809265136,0.0,0.0,0.0
start_boundary,2020-03-13,2020-04-15,ASELS,True,normal_day,24,24,24,0.0,24,0,1.0,1.0,24,0,17.142499856948852,18.708749875068662,18.899999809265136,0.0,0.0,0.0
start_boundary,2020-03-13,2020-04-15,ASELS,True,dividend_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,ASELS,True,split_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,ASELS,True,adjustment_factor_change_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,BIMAS,True,all_days,24,24,24,0.0,24,1,0.9583333333333334,0.9583333333333334,23,0,24.645000381469725,25.67125038146973,25.69999961853027,0.0,0.0,1.5258789076710855e-06
start_boundary,2020-03-13,2020-04-15,BIMAS,True,normal_day,24,24,24,0.0,24,1,0.9583333333333334,0.9583333333333334,23,0,24.645000381469725,25.67125038146973,25.69999961853027,0.0,0.0,1.5258789076710855e-06
start_boundary,2020-03-13,2020-04-15,BIMAS,True,dividend_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,BIMAS,True,split_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,BIMAS,True,adjustment_factor_change_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,TUPRS,True,all_days,24,24,24,0.0,24,1,0.9583333333333334,0.9583333333333334,23,0,65.71071529388428,77.91142908096313,78.80714302062988,0.0,0.0,2.479553216971908e-06
start_boundary,2020-03-13,2020-04-15,TUPRS,True,normal_day,24,24,24,0.0,24,1,0.9583333333333334,0.9583333333333334,23,0,65.71071529388428,77.91142908096313,78.80714302062988,0.0,0.0,2.479553216971908e-06
start_boundary,2020-03-13,2020-04-15,TUPRS,True,dividend_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,TUPRS,True,split_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,TUPRS,True,adjustment_factor_change_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,EREGL,True,all_days,24,24,24,0.0,24,2,0.9166666666666666,0.9166666666666666,22,0,3.6775000667572018,3.8292499279975893,3.844999942779541,0.0,6.484985357602097e-08,9.536743128535363e-08
start_boundary,2020-03-13,2020-04-15,EREGL,True,normal_day,24,24,24,0.0,24,2,0.9166666666666666,0.9166666666666666,22,0,3.6775000667572018,3.8292499279975893,3.844999942779541,0.0,6.484985357602097e-08,9.536743128535363e-08
start_boundary,2020-03-13,2020-04-15,EREGL,True,dividend_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,EREGL,True,split_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,EREGL,True,adjustment_factor_change_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,SISE,False,all_days,24,24,0,1.0,24,0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
start_boundary,2020-03-13,2020-04-15,SISE,False,normal_day,24,24,0,1.0,24,0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
start_boundary,2020-03-13,2020-04-15,SISE,False,dividend_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,SISE,False,split_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,SISE,False,adjustment_factor_change_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,SASA,True,all_days,24,24,24,0.0,24,2,0.9166666666666666,0.9166666666666666,22,0,7.098699999153614,8.653346799969672,8.755264001488685,0.0,3.075142329360673e-05,4.697368200012875e-05
start_boundary,2020-03-13,2020-04-15,SASA,True,normal_day,24,24,24,0.0,24,2,0.9166666666666666,0.9166666666666666,22,0,7.098699999153614,8.653346799969672,8.755264001488685,0.0,3.075142329360673e-05,4.697368200012875e-05
start_boundary,2020-03-13,2020-04-15,SASA,True,dividend_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,SASA,True,split_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,SASA,True,adjustment_factor_change_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,KCHOL,False,all_days,24,24,3,0.875,24,3,0.875,0.0,0,0,0.0,2.8800964368969036e-07,3.8146972691777137e-07,0.0,2.8800964368969036e-07,3.8146972691777137e-07
start_boundary,2020-03-13,2020-04-15,KCHOL,False,normal_day,23,23,3,0.8695652173913043,23,3,0.8695652173913043,0.0,0,0,0.0,2.9373168963786595e-07,3.8146972691777137e-07,0.0,2.9373168963786595e-07,3.8146972691777137e-07
start_boundary,2020-03-13,2020-04-15,KCHOL,False,dividend_day,1,1,0,1.0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
start_boundary,2020-03-13,2020-04-15,KCHOL,False,split_day,0,0,0,,0,0,,,0,0,,,,,,
start_boundary,2020-03-13,2020-04-15,KCHOL,False,adjustment_factor_change_day,1,1,0,1.0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
start_boundary,2020-03-13,2020-04-15,HEKTS,True,all_days,24,24,24,0.0,24,24,0.0,0.0,0,0,9.066705501079559,9.722510620474814,9.793812022209167,8.045713848395433,8.65089903292027,8.709845845275503
