ticker,date,periods,adjustment_factor,previous_adjustment_factor,adjustment_factor_changed,yf_provider_open,yf_future_split_factor,yf_nominal_open,yf_dividends,yf_stock_splits,yf_capital_gains,yf_other_action_value,has_yfinance_dividend,has_yfinance_split,has_yfinance_other_action,normal_day,dividend_day,split_day,adjustment_factor_change_day,corporate_action_source
BIMAS,2020-05-13,full_period,0.41407442748091605,0.4100734299516908,True,25.625,2.0,51.25,0.25,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2020-10-14,full_period,0.41407536231884057,0.4140755265068991,False,34.45000076293945,2.0,68.9000015258789,0.4,0.0,0.0,0.0,True,False,False,False,True,False,False,yfinance_only
BIMAS,2021-01-08,full_period,0.4251387434554974,0.41407547169811326,True,37.54999923706055,2.0,75.0999984741211,1.0,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2021-05-20,full_period,0.43849841269841267,0.4251393754760091,True,32.0,2.0,64.0,1.0,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2021-11-17,full_period,0.45212681436210844,0.4384973624717408,True,32.20000076293945,2.0,64.4000015258789,1.0,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2022-06-15,full_period,0.4603815789473685,0.45212671846981467,True,41.599998474121094,2.0,83.19999694824219,0.75,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2022-12-14,full_period,0.46563743148003134,0.46038148984198646,True,66.25,2.0,132.5,0.75,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2023-06-14,full_period,0.4713331265508685,0.46563746223564956,True,82.30000305175781,2.0,164.60000610351562,1.0,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2023-12-20,full_period,0.47601151315789475,0.4713333333333334,True,152.625,2.0,305.25,1.5,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2024-07-17,full_period,0.47764312080536914,0.4760114432109308,True,292.5,2.0,585.0,1.0,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2024-10-02,full_period,0.4816274678111588,0.4776430196483971,True,241.0,2.0,482.0,2.0,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2024-12-18,full_period,0.4853719921104536,0.4816275795564127,True,257.5,2.0,515.0,2.0,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2025-06-18,full_period,0.48926272066458987,0.4853719681908549,True,249.0,2.0,498.0,2.0,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2025-09-17,full_period,0.4930191304347826,0.48926285714285717,True,260.5,2.0,521.0,2.0,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2025-12-17,full_period,0.4974092475067996,0.4930190644307149,True,281.0,2.0,562.0,2.5,0.0,0.0,0.0,True,False,False,False,True,False,True,both
BIMAS,2026-05-14,recent_90_calendar_days;full_period,0.9948185990338164,0.4974093480934809,True,411.5,1.0,411.5,0.0,2.0,0.0,0.0,False,True,False,False,False,True,True,both
BIMAS,2026-06-17,recent_90_calendar_days;full_period,1.0,0.9948186528497409,True,395.0,1.0,395.0,2.0,0.0,0.0,0.0,True,False,False,False,True,False,True,both
KCHOL,2020-04-06,start_boundary,0.82092318534179,0.80836376917458,True,13.859999656677246,1.0,13.859999656677246,0.2095,0.0,0.0,0.0,True,False,False,False,True,False,True,both
SISE,2020-05-29,full_period,0.9025413223140495,0.8771739130434784,True,4.909999847412109,1.0,4.909999847412109,0.142222,0.0,0.0,0.0,True,False,False,False,True,False,True,both
SISE,2021-05-31,full_period,0.9215096774193549,0.9025472887767969,True,7.78000020980835,1.0,7.78000020980835,0.163227,0.0,0.0,0.0,True,False,False,False,True,False,True,both
SISE,2022-05-31,full_period,0.9397235462345089,0.9215147198480532,True,20.700000762939453,1.0,20.700000762939453,0.408068,0.0,0.0,0.0,True,False,False,False,True,False,True,both
SISE,2023-05-31,full_period,0.9552626362735382,0.9397223540579022,True,42.099998474121094,1.0,42.099998474121094,0.685554,0.0,0.0,0.0,True,False,False,False,True,False,True,both
SISE,2024-05-31,full_period,0.9683346757954088,0.9552631578947368,True,52.75,1.0,52.75,0.7182,0.0,0.0,0.0,True,False,False,False,True,False,True,both
SISE,2025-05-30,full_period,0.9871696969696969,0.96833430742256,True,33.560001373291016,1.0,33.560001373291016,0.652909,0.0,0.0,0.0,True,False,False,False,True,False,True,both
SISE,2026-06-01,recent_90_calendar_days;full_period,1.0,0.987170305676856,True,45.65999984741211,1.0,45.65999984741211,0.587618,0.0,0.0,0.0,True,False,False,False,True,False,True,both
TUPRS,2023-03-10,full_period,0.10412238959260527,0.0967226917057903,True,85.97142791748047,7.0,601.7999954223633,6.487455,0.0,0.0,0.0,True,False,False,False,True,False,True,both
TUPRS,2023-04-04,full_period,0.7288567946374163,0.10412243090007088,True,79.5,1.0,79.5,0.0,7.0,0.0,0.0,False,True,False,False,False,True,True,both
TUPRS,2023-09-29,full_period,0.7639100628930817,0.7288567073170732,True,158.10000610351562,1.0,158.10000610351562,15.050896,0.0,0.0,0.0,True,False,False,False,True,False,True,both
TUPRS,2024-04-03,full_period,0.8118445945945945,0.763910125142207,True,165.39999389648438,1.0,165.39999389648438,10.379928,0.0,0.0,0.0,True,False,False,False,True,False,True,both
TUPRS,2024-09-27,full_period,0.8731544766708702,0.8118441176470588,True,159.0,1.0,159.0,11.936917,0.0,0.0,0.0,True,False,False,False,True,False,True,both
TUPRS,2025-03-28,full_period,0.9237253623188406,0.8731547116736991,True,134.5,1.0,134.5,7.784946,0.0,0.0,0.0,True,False,False,False,True,False,True,both
TUPRS,2025-09-30,full_period,0.9606075067024129,0.92372529746508,True,187.39999389648438,1.0,187.39999389648438,7.421649,0.0,0.0,0.0,True,False,False,False,True,False,True,both
TUPRS,2026-03-16,full_period,1.0,0.9606075901328274,True,259.75,1.0,259.75,10.379928,0.0,0.0,0.0,True,False,False,False,True,False,True,both
