ticker,trade_date,prediction_date,entry_date,yf_nominal_open,yf_nominal_high,yf_nominal_low,yf_nominal_close,is_tl_volume,yf_share_volume,previous_nominal_close,raw_upper_limit,price_step,tick_size,tick_rule_set_id,tick_rule_effective_from,tick_rule_effective_to,estimated_upper_limit,price_step_resolution_status,official_source_document,ohlc_quality_flag,volume_quality_flag,cross_source_price_warning,corporate_action_flag,corporate_action_signal_sources,corporate_action_source_count,corporate_action_source_agreement,corporate_action_window_flag,corporate_action_window_dates,corporate_action_window_signal_sources,entry_eligible,entry_exclusion_reason,entry_exclusion_reasons,entry_exclusion_detail,requires_review,input_snapshot_ids,input_snapshot_checksums,cleaning_config_checksum,cleaning_code_commit_sha,cleaning_version
THYAO,2024-01-03,2024-01-02,2024-01-03,235.89999389648438,236.0,229.6999969482422,230.10000610351562,4572165055.0,19679997,236.39999389648438,260.0399932861328,0.25,0.25,BIST_EQUITY_FROM_20231106_V1,2023-11-06,,260.0,RESOLVED,Borsa İstanbul E-18454353-100.04.02-19412 (2023-08-28),VALID,POSITIVE_VOLUME_CONFIRMED,True,False,[],0,NO_SIGNAL,False,[],[],True,,[],,False,"['snap_0a5656599bd1beec_r0002_32310e63ea9e', 'snap_6c730f79f1f955a1_r0002_297e0731b2c3', 'snap_86bf32995854f483_r0001_e3137169a75f']","['0b5a5c0c57478744c6936eb904b1c75ce2baf1c05800f23646a99155c31054be', '6b61a40dc80f6c26fe86c89eca2b7090b95cd7d8ab7c2727e068eee2209cf573', '04df1d898959efded876483ed093382cfd6e66aaa024250eef5246b506bae4c0']",af3572b4500964e271df75b8141e957b19fc78cd82dfa2de7bae71c10a70ef51,1c5c7a74663f26ee76f0ab997b5c2abad9d53900,d022-d023-tick-size-v2
THYAO,2024-01-04,2024-01-03,2024-01-04,230.6999969482422,234.3000030517578,229.6999969482422,233.3000030517578,4752374432.0,20462665,230.10000610351562,253.1100067138672,0.25,0.25,BIST_EQUITY_FROM_20231106_V1,2023-11-06,,253.0,RESOLVED,Borsa İstanbul E-18454353-100.04.02-19412 (2023-08-28),VALID,POSITIVE_VOLUME_CONFIRMED,True,False,[],0,NO_SIGNAL,False,[],[],True,,[],,False,"['snap_0a5656599bd1beec_r0002_32310e63ea9e', 'snap_6c730f79f1f955a1_r0002_297e0731b2c3', 'snap_86bf32995854f483_r0001_e3137169a75f']","['0b5a5c0c57478744c6936eb904b1c75ce2baf1c05800f23646a99155c31054be', '6b61a40dc80f6c26fe86c89eca2b7090b95cd7d8ab7c2727e068eee2209cf573', '04df1d898959efded876483ed093382cfd6e66aaa024250eef5246b506bae4c0']",af3572b4500964e271df75b8141e957b19fc78cd82dfa2de7bae71c10a70ef51,1c5c7a74663f26ee76f0ab997b5c2abad9d53900,d022-d023-tick-size-v2
THYAO,2024-01-05,2024-01-04,2024-01-05,233.8000030517578,239.1999969482422,233.1999969482422,239.1999969482422,7337523547.0,31168225,233.3000030517578,256.63000335693357,0.25,0.25,BIST_EQUITY_FROM_20231106_V1,2023-11-06,,256.5,RESOLVED,Borsa İstanbul E-18454353-100.04.02-19412 (2023-08-28),VALID,POSITIVE_VOLUME_CONFIRMED,True,False,[],0,NO_SIGNAL,False,[],[],True,,[],,False,"['snap_0a5656599bd1beec_r0002_32310e63ea9e', 'snap_6c730f79f1f955a1_r0002_297e0731b2c3', 'snap_86bf32995854f483_r0001_e3137169a75f']","['0b5a5c0c57478744c6936eb904b1c75ce2baf1c05800f23646a99155c31054be', '6b61a40dc80f6c26fe86c89eca2b7090b95cd7d8ab7c2727e068eee2209cf573', '04df1d898959efded876483ed093382cfd6e66aaa024250eef5246b506bae4c0']",af3572b4500964e271df75b8141e957b19fc78cd82dfa2de7bae71c10a70ef51,1c5c7a74663f26ee76f0ab997b5c2abad9d53900,d022-d023-tick-size-v2
THYAO,2024-01-08,2024-01-05,2024-01-08,239.10000610351562,244.10000610351562,237.6999969482422,242.60000610351562,6354251281.0,26271851,239.1999969482422,263.11999664306643,0.25,0.25,BIST_EQUITY_FROM_20231106_V1,2023-11-06,,263.0,RESOLVED,Borsa İstanbul E-18454353-100.04.02-19412 (2023-08-28),VALID,POSITIVE_VOLUME_CONFIRMED,True,False,[],0,NO_SIGNAL,False,[],[],True,,[],,False,"['snap_0a5656599bd1beec_r0002_32310e63ea9e', 'snap_6c730f79f1f955a1_r0002_297e0731b2c3', 'snap_86bf32995854f483_r0001_e3137169a75f']","['0b5a5c0c57478744c6936eb904b1c75ce2baf1c05800f23646a99155c31054be', '6b61a40dc80f6c26fe86c89eca2b7090b95cd7d8ab7c2727e068eee2209cf573', '04df1d898959efded876483ed093382cfd6e66aaa024250eef5246b506bae4c0']",af3572b4500964e271df75b8141e957b19fc78cd82dfa2de7bae71c10a70ef51,1c5c7a74663f26ee76f0ab997b5c2abad9d53900,d022-d023-tick-size-v2
THYAO,2024-01-09,2024-01-08,2024-01-09,243.89999389648438,250.5,239.39999389648438,242.89999389648438,11352141563.0,46260123,242.60000610351562,266.86000671386716,0.25,0.25,BIST_EQUITY_FROM_20231106_V1,2023-11-06,,266.75,RESOLVED,Borsa İstanbul E-18454353-100.04.02-19412 (2023-08-28),VALID,POSITIVE_VOLUME_CONFIRMED,True,False,[],0,NO_SIGNAL,False,[],[],True,,[],,False,"['snap_0a5656599bd1beec_r0002_32310e63ea9e', 'snap_6c730f79f1f955a1_r0002_297e0731b2c3', 'snap_86bf32995854f483_r0001_e3137169a75f']","['0b5a5c0c57478744c6936eb904b1c75ce2baf1c05800f23646a99155c31054be', '6b61a40dc80f6c26fe86c89eca2b7090b95cd7d8ab7c2727e068eee2209cf573', '04df1d898959efded876483ed093382cfd6e66aaa024250eef5246b506bae4c0']",af3572b4500964e271df75b8141e957b19fc78cd82dfa2de7bae71c10a70ef51,1c5c7a74663f26ee76f0ab997b5c2abad9d53900,d022-d023-tick-size-v2
THYAO,2024-01-10,2024-01-09,2024-01-10,242.89999389648438,252.25,242.1999969482422,249.89999389648438,11467212507.0,46352544,242.89999389648438,267.1899932861328,0.25,0.25,BIST_EQUITY_FROM_20231106_V1,2023-11-06,,267.0,RESOLVED,Borsa İstanbul E-18454353-100.04.02-19412 (2023-08-28),VALID,POSITIVE_VOLUME_CONFIRMED,True,False,[],0,NO_SIGNAL,False,[],[],True,,[],,False,"['snap_0a5656599bd1beec_r0002_32310e63ea9e', 'snap_6c730f79f1f955a1_r0002_297e0731b2c3', 'snap_86bf32995854f483_r0001_e3137169a75f']","['0b5a5c0c57478744c6936eb904b1c75ce2baf1c05800f23646a99155c31054be', '6b61a40dc80f6c26fe86c89eca2b7090b95cd7d8ab7c2727e068eee2209cf573', '04df1d898959efded876483ed093382cfd6e66aaa024250eef5246b506bae4c0']",af3572b4500964e271df75b8141e957b19fc78cd82dfa2de7bae71c10a70ef51,1c5c7a74663f26ee76f0ab997b5c2abad9d53900,d022-d023-tick-size-v2
