ticker,prediction_date,entry_date,horizon_t2_date,horizon_t3_date,entry_price,raw_target_price,target_tick_size,target_price,target_hit,target_hit_date,target_hit_horizon,label,label_status,label_exclusion_reason,label_exclusion_reasons,exit_date,exit_price,exit_reason,gross_return,input_clean_snapshot_id,input_clean_snapshot_checksum,label_config_checksum,label_code_commit_sha,label_version
THYAO,2024-01-08,2024-01-09,2024-01-10,,243.89999389648438,256.0949935913086,0.25,256.25,,,,,NA,INCOMPLETE_HORIZON,['INCOMPLETE_HORIZON'],,,,,snap_80ea98811d6a6f3a_r0001_0141392192f1,7350ad8a5c39f32942f616c4ea8ffd2193691e70982c099d604d6c8e7096d030,37f11f1699c57f4a385aca3cc3fb9382759eb67410006e9807809f20e11e6102,5f88b4eb6cc621ff4f806a757804e37d2d6393c2,d011-d014-d020-d023-d024-d026-v1
THYAO,2024-01-09,2024-01-10,,,242.89999389648438,255.0449935913086,0.25,255.25,,,,,NA,INCOMPLETE_HORIZON,['INCOMPLETE_HORIZON'],,,,,snap_80ea98811d6a6f3a_r0001_0141392192f1,7350ad8a5c39f32942f616c4ea8ffd2193691e70982c099d604d6c8e7096d030,37f11f1699c57f4a385aca3cc3fb9382759eb67410006e9807809f20e11e6102,5f88b4eb6cc621ff4f806a757804e37d2d6393c2,d011-d014-d020-d023-d024-d026-v1
